headline,reviewBody,Author Name,Published Year,Published Month,Published Day,Review,SA Negative,SA Positive,Review Case
Can I give it a 0,"I wish I could give it 0. I’m a Twitch streamer and rely on my internet to afford to SURVIVE! We moved apartments and they screwed up sending us a temporary “Mini Hub” not once but TWICE and that took a week. They won’t even give me a discount or anything, it’s PATHETIC, I need my internet to feed myself. Awful company don’t use",Kylie,2021,10,25,1,0.186,0.027,Negative
Gave a one star but they don't deserve…,"Gave a one star but they don't deserve any stars I'm in a 2 year contract but can't get there WiFi I'm in a bungalow so router not far from where I wish to use wi-fi, called them a number of times not fixed can't wait to leave not getting what I'm paying for this is how they get you into a long contract awful service",Ellie Hayward,2021,10,25,1,0.061,0.095,Positive
Booked an engineer to install fast…,"Booked an engineer to install fast fibre broadband.Waited in all afternoon, and guess what, nobody showed Appalling service from BtAfter all they are a communications company, yet they fail too communicate with customers Can’t wait for my contract to end",Mark Thomas,2021,10,24,1,0.14,0,Negative
4 days without Broadband…,4 days without Broadband and no phone line and BT cant even tell me whats going on. Then BT Diagnostics text me saying its all sorted! The text was apparently a mistake. They have apologised for the text! Its not sorted!,Ann Brown,2021,10,24,1,0.056,0.098,Positive
Worryingly contemptuous culture…,"Many BT staff require urgent re-training to fully understand their product range & to address the culture of contempt that is growing within BT. I sought advice on splitting the 2.4 & 5ghz bands on my new Smart Hub 2, having upgraded at huge cost to Full Fibre 900 . It became clear that none of the staff I contacted understood why split bands are important or how SH2 differed from the original SH. Web chat 1: After an eternity I was eventually lied to in order to get rid of me. I was told that a different hub would be sent which supports FF900 & splits bands. As a little added mockery, I was advised there'd be no delivery charge. No such hub exists & therefore no such order was ever going to be placed. Web chat 2. I was advised to contact the manufacturer of my TV, as it was their fault the TV couldn't be assigned to the faster 5ghz band! What has happened to this once great company. Tip: Ditch the obsession with sports & focus on world class phone, broadband & Customer services.25/10/2021. How does your reply Paddy, address in anyway, the disgraceful Customer service I described? You have simply evidenced yet again, total contempt for Customers.",Phillip Kavanagh,2021,10,24,1,0.108,0.097,Negative
Really helpful response,I asked for something which BT don't normally allow but they responded positively. A very fast and happy solution to a problem,Stephen Lyons,2021,10,24,5,0.153,0.408,Positive
We stayed with BT for 3 years (last 1.5…,"We stayed with BT for 3 years (last 1.5 because we were through our house sale) The internet was very unreliable, cutting out various times a day for short periods. An engineer came home but essentially said ""nothing I can do"", you need to talk to customer serviceAnd customer service was literally turning us away during most of the pandemic.",Xabier Izaguirre,2021,10,24,1,0.024,0,Negative
I would like to say well done to the …,I would like to say well done to the  BT Engineer who visited my property on the 22/10/21 he was outstanding in his professional manner of being helpful polite . It was a difficult property to put in fibre broadband he went out of his way to get us broadband on the morning before removals arrived . So very helpful did a fantastic job . Well done !!,Ms. karen  friend,2021,10,24,5,0.032,0.269,Positive
Appalling,"Shocking inability to communicate for a communications company! Still waiting (over two weeks in) for a call back to arrange for setting up equipment. We call, we hear apologies and nothing happens. Shockingly poor service!",Happy customer,2021,10,23,1,0.153,0.104,Negative
BT boardband unstable and bad customer…,"BT boardband unstable and bad customer service.  They expect their customers work around their BT engineers schedule not customers.  BT seems to think their customers can take time off work for their engineers.  I don't understand that why BT engineers are not at services at weekend or evening.  Their fault team is a joke, no customer services at all.  Telling me there was no fault when I have no  wifi for a few days, then told me not to talk over him when he was the one kept interrupting me talking.  Shocking bad services at their fault team.  BT management needs to do better to provide some basic infrastructure to the UK public.",Arch Cap,2021,10,23,1,0.224,0.039,Negative
I can confirm the bad reviews and stars…,"I can confirm the bad reviews and stars are true, Switched to by and promised all sorts, promised a buy out of my previous Internet and they said they pay supplier direct Bt connection date come alone I'm told different, Now left with a debt from old supplier I cannot afford to pay, thanks bt U would get no stars if I could, do not trust them when they say they will pay your old provider direct, your being set up Bt are rubbish avoid at all costs",James Smith,2021,10,23,1,0.195,0.108,Negative
Zero Customer Service,"Update:Tried calling BT 'Customer Service' but the line goes dead every single time, right after the ""we record this ....."" message. Called the card company who transferred me to BT and guess what happened after listening to the ""we're busy"" message? Right, line went dead. Eventually got the card company to stay on the line until BT answered and THEN got them to transfer it. BT guy seemed surprised to have a customer on the line! He wasn't at all bothered by the email and telephone failures, just added my mobile number to the card account so I could activate via text message. Again, not bothered that BT should have done this when setting up the account.Makes you proud that they receive £billions in taxpayer subsidies doesn't it!",James,2021,10,23,1,0.112,0.087,Negative
rubbish,"hi, If u are in Liverpool or Merseyside area DON'T use BT broadband! The connection is not working in weekends and it speed is 2.8 when is working well, so is pure rubbish!",iulyus69,2021,10,22,1,0,0.08,Positive
This company's service is utterly appalling,"This hopeless company is bureaucratic and unhelpful to a shocking degree. Separating the phone service from the infrastructure should never have been permitted. The phone cables have pulled a brick most of the way out of my wall. This was extremely dangerous as it could have killed somebody. When I called BT to deal with it ay 0930, they tried to palm me off, giving me the number for Open Reach and telling me to deal with it myself. This alone I found unacceptable as I have no relations hip with Open Reach. However, Open Reach weren't accepting calls anyway and only prepared to take contact though its website. But I am in a remote part of Scotland at present while my house is in Wiltshire. I was unable to go online and, in an urgent matter, that should not be necessary. After speaking to four different BT personnel of little intelligence, I finally bullied someone into connecting me with Open Reach, who I hope have now fixed the problem, although nobody has had the courtesy to confirm that to me. The brick could easily have fallen out and killed someone. The BT people refuse to call me back as one might imagine common courtesy would suggest - especially at a phone company. Instead I was made to wait entirely unnecessarily on hold for a cumulative 50 minutes while BT's hopeless staff achieved nothing. This company and its service are a disgrace.",Gregory,2021,10,22,1,0.167,0.097,Negative
He tried helping me with my problems he…,He tried helping me with my problems he was friendly thou but need a engineer snd box,Lou Laird,2021,10,22,3,0.1,0.199,Positive
Been with bt on a sim only deal,"Been with bt on a sim only deal. I had an issue with the Internet dropping after a few months of been with them. The customer service and tec team was brilliant. They contacted me when they said they would,easy to talk too. After following there advice and me giving them the correct information of when I was receiving the internet dropping bt figured out the issue. I know the maximum bt gives on sim only deals is 100gb but its faster than any other Internet company I've been with that offers unlimited. I received an add on as well due to this issue so I'm well happy. Thanks for your professional help. 😃",Lee,2021,10,22,5,0,0.182,Positive
Lie lie lie,"They make promises and then lie about it like you have gone mad, I was called and offered a deal with my broadband at £10 less  and then told I was never offered that deal because they can't give it that cheap, I rung up more than once checking the deal true to be told yes and then my direct debit came out at full price. When I rung them they made me feel like I made the whole thing up and said they can't see anywhere on my account they deal was offered. I'm now stuck with them till my contract ends. Won't be renewing with them, I've been with BT for 15 years but won't be again because they never keep there word. So won't recommend them to anyone. But if you do go with them make sure you tell them to email you that deal so you have proof, that's the mistake I did.",Lesley-Anne Duncombe,2021,10,22,1,0.06,0.074,Positive
"LIES, LIES and more LIES.","Opened an account a year ago, BT made mistakes from the outset. You call the call centre, it always has to be a different person who has to deal with it, no time/date given when they will call back. They might try once, call doesn't ever connect (BT, A PHONE COMPANY?!) or someone the other end says 'Oh' when you pick up and they hang up. This is sufficient for them to close the complaint?! This goes on complaint after complaint. Lies, games and the issue never touched. I had a friend from Uni who worked at BT, so I contacted her. People promised to call, they never did.How is a large organisation allowed to operate in this way?It wasn't even my mistake I was trying to resolve and we are talking about a vital service.The lies they tell are UNBELIEVABLE.Re response below: The 'complaints code of practice' wasn't followed 100% of the time! 3 out of 3 complaints just ignored. Someone 'apologised' but did nothing else to help! It was definitely the 'let down' option!!",Customer,2021,10,22,1,0.122,0.056,Negative
Well let's start I left Plusnet as they…,"Well let's start I left Plusnet as they stopped doing TV so thought I would go back to BT .I ordered everything online and requested a transfer for the 1st of October, all the equipment arrived and waited until the 1st to plug in. The 1st came and went with no broadband, got in touch with BT to be told someone had cancelled the line swap ( nothing to done with me) and was told I had to cancel that order and do a new order, this would take around 10 days. 10 days came and hurray telephone and broadband but not my number. After another hour trying to speak to someone got my old number back. On my original order I purchase one of BTs digital phones which links direct to the hub, this phone linked but to the hub but could not receive or make calls. After speaking to 3 people on 2 different days I eventually spoke to a person who had no idea what this phone was but made the effort to find out. He told me that I needed to have the digital line ( which I had asked for on my first order as I had to pay for the phone they sent out) he told me that it may take up to 5 days to change over but my land line would work until then. On the 21/10/21 I got home to be told that the broadband and phoneline were down so here we go again on the mobile trying to speak to someone who can tell me what is going on.I would give BT no stars but there is no function for this",Sean Leary,2021,10,22,1,0.068,0.025,Negative
"Good broadband, good hub",The hub is much better than virgin’s (both for reception and firmware) and in my area I’ve had no problems with the actual broadband.,Pier Maria Biagiolini,2021,10,22,5,0.17,0.101,Negative
Useless company with a customer service…,Useless company with a customer service worst then ….aliens ..,Mate,2021,10,21,1,0.496,0,Negative
Awful mobile service,"Awful service. I ordered a sim only family deal over a week ago and provided PAC codes..I received the sim cards promptly but we're all still having to use temporary numbers. BT advertise that the original numbers will be transferred within 24hrs, one week in and we're still waiting for our numbers to transfer...communication has been terrible, I've done all the chasing, numerous calls to them and all they say when I call is that it'll be sorted next day but it never is..avoid BT mobile... Terrible service...Update Friday 22nd.. I called again today and was told someone who was going to be able to help would call me by the end of the day.. Its 5:15 now and still no call...numbers still not working... It's been a nightmare! staff are always friendly when I call but there seems to be no one in a posion to actually do anything to resolve the situation...",Gabriel Davy,2021,10,21,1,0.097,0.085,Negative
TOTAL DISGRACE,Having had numerous issues with BT about log in and receiving a reply saying my email address already exists so  you can’t log in.I hVe raised this more times than I recall but on the last one I received a call giving me another number for technical help.So it’s happened again and I called at 20.40 tonight to get a message saying they are very busy ( no wonder as they appear incompetent) so I held and held and at 21.00 they cut me off saying they were closed so call back tomorrow.Totally useless and I will not be renewing with them.UPDATEJust had a reply from someone claiming to be the Moderator suggesting I pose a question on a Community site to see if someone can help!Is this Moderator a BT employee and why can’t BT contact me direct if they see my problem? They have my details and contact numbers,John M,2021,10,21,1,0.09,0.031,Negative
I ordered a new pay point card via…,"I ordered a new pay point card via messenger on FacebookI received a professional , very efficient and friendly reply from Catherine UK BT team advising she had ordered one.Very good customer service as usual.I have been with BT for about 40 years and have no intention in going elsewhere as any problems or queries I have had then they have been answered , resolved with ease .. Pass on my thanks to Catherine",Keith Mitchell,2021,10,21,1,0.077,0.202,Positive
The worst company I have ever dealt with,"Where do you start with BT! In the gutter would be about right. Rang them to report an issue with our business line, I would of been better off ringing the Samaritans because I definitely need them after speaking to IBT (Inept British Telecom) On hold for 1hr 12 mins, it has to be a record - especially when they cut me off and I had to start the process all over again. When I rang them back, it was only 48mins on hold this time - vast improvement!!!!!!!They have not got a clue what to do, I was passed to 4 different people who all were so unhelpful. I would have been better off talking to the cleaner. Anyway I won't go into full details, the boredom would kill you. We have now left BT and are signing up with an Independent coms provider. I would never go back to BT - even if it was free.....",Neil Charles Chadwick,2021,10,21,1,0.059,0.072,Positive
Dreadful Customer Service,"words cannot describe how much I have been messed about by bT.  I have tried to order broadband since 15 September, money has been taken, but we still have no broadband.  the customer service is an absolute joke, if it were not so frustrating it would be funny... ""I will personally ensure that your problem is solved""  has been said to me now numerous time, and still nothing has been resolved - an absooute disgrace, if there was a 0 i would have rated them 0",PC,2021,10,21,1,0.146,0.133,Negative
Excellent communication with one of the…,Excellent communication with one of the team working for BT.,Jayne ,2021,10,21,5,0,0.291,Positive
I just called up with a BT Wifi with…,"I just called up with a BT Wifi with Fon issue, spoke to Sophie from the BT Wifi Team who was lovely and very helpful. Very happy with the service and my issue was resolved immediately, thanks Sophie!",Allison Cassidy,2021,10,21,5,0,0.341,Positive
Thieves with terrible service,"I cancelled with a months notice while I was also out of contract. I was out of contract and they said I won't be charged. A week later they sent me a bill. I contacted them to make sure they don't steal my money. They agreed not to rob me and a week later they reach into my account with their grubby fingers and take the money anyway... Scumbag company, avoid at all costs!",Daniel Brandkamp,2021,10,21,1,0.109,0.167,Positive
Awful company,Awful company. Not only did I cancel my broadband and phone with them due to their service i will be cancelling my sport with them too. Waiting for a answer on phone for over a hour and chat for same amount of time. Disgust. Save your money and go somewhere else,Mike Remnant ,2021,10,20,1,0.156,0.089,Negative
Have had at least two engineers out in…,"Have had at least two engineers out in the space of a week with both of them stating that my problem had been fixed (before they had even visited, I mean why does BT sign off on work not even done?!). Line checked, (I had phenomenal crackling on my telephone line pre check ), line supposedly rewired at the exchange (?) and a new plug-in point in my home to replace the old one. The Home hub was checked for speed and everything was tickety boo when they left, except that it wasn't. Nothing changed, the problem remained, I tried to reopen the case, but it said that it had been resolved (oh no, no, no!), So there was another appointment made for an engineer to come out to me for a few days later. They never turned up! It transpired that someone in their wisdom decided that my problem had been resolved and my appointment was cancelled without informing me and I waited in like a lemon all day for them to arrive. The following day, I chased them up about it, got a very apologetic lady on the phone who said that an appointment had never been made until I told her the job number, etc, then she found it. It strangely had disappeared from my emails (weird), but then she made another appointment. This time someone did actually arrive. A very helpful chap who did his utmost to improve the quality of my broadband speed and said that it was now fixed. Yeah, but no... Two days later, I'm back to square one, crackling line, diabolical internet connection, a half hour wait to get anywhere near a place in the queue for assistance and my patience is wearing extremely thin. At this rate, they should be paying me to even think about using BT! I'm one very disappointed and disgruntled customer.",Mdeboh,2021,10,20,1,0.08,0.072,Negative
After 8 months of BT overcharging…,"After 8 months of BT overcharging me/miss-selling past contracts etc, I finally received a credit note for £89 from my closed account last August.  After 2 months of no refund, I chased BT who agreed that they would send a cheque.  Today I received that cheque in one envelope and a BT invoice in another envelope for £40 described as a late payment fee!!! Unbelievable!  Had to spend yet more time to get that cancelled (triggered by the settlling of the money they owed me apparently!)  When are BT gonna take the ""British"" out of BT because I am so ashamed of their terrible billing and also realise, they are over-reliant on computer systems which they use as a subsitute for personal service.  I hope that after today, finally, I will never have to deal with them again which is a shame because we have a very large business which BT could have benefited from.",A Hollingsworth,2021,10,20,1,0.1,0.06,Negative
They got my contract wrong and then…,"They got my contract wrong and then renewed it and still didn’t honour the mentioned price. When I called they started the legal talk. I have been a customer 3 years it was okay but past year and a half have been disgraceful. When my contract expires I am excited to tell them to shove it. They have lied, bullied and been poor service.",Daryl Richards,2021,10,20,1,0.208,0.111,Negative
Seriously disgraceful service,Trying to downscale my fathers services who was bed ridden and dying of cancer and could no longer use the services to be told hes got a contract nothing we can do..he sadly passed away in july im still very bitter and angry towards bt..and they had the cheek to ask if i wanted to continue the services after he passed away..disgusting,Michael Mellish,2021,10,20,1,0.226,0,Negative
Helpful staffs were knowledgeable and quick to reply,I had an excellent experience recently when my billing couldn't be accessed on line.Laura sorted it all out for me and got me on a lower tariff too!as good as it gets :),Andy Fox,2021,10,20,5,0.056,0.253,Positive
Customer service shocking,Customer service shocking - I'm ashamed they are allowed to have British in the name as they are the biggest con artists around.,Op proud,2021,10,20,1,0.225,0,Negative
BT TV working again thank you,"Once I was able to talk with someone it was fairly simple - if I was more twitter savvy it would have been easier all through.Engineer was very quick, polite, friendly and efficient just like man I spoke with on the phone to get call placed.",Lorna Spike-Watson,2021,10,20,5,0,0.233,Positive
Save yourself and get another broadband / phone provider,"BT is probably the most inefficient company (not broadband/phone company, but company in general) that I have ever dealt with. Their customer service is laughable. One day they'll tell you one thing, another day you'll be told the exact opposite with the same level of certainty. Want to put a request for something? Don't do it over the phone. Everyone behind that phone is either completely incompetent or they don't really care about you or their job. Some of the issues that I've recently experienced in the last 2 months:1. Home move - don't even attempt to do this, if you can, get out of your contract. I placed a home move over the phone and it didn't show up for a number of days under Orders in my account - so I called back and they told me that the person I had talked to ""forgot to put it in the system"", seriously? One person in customer service told me to close my account and that I would have to get a new router and return my current one, and the second time I called they told me that I had been ill-advised, and that I could move home with my current router. 2. They give you a mini-hub while you moving between houses! Sounds nice right?  Until they disconnect it for no apparent reason so you are left as A. a paying customer B. without internet. 3. How long with the activation take in your new flat? The first person I called said 14 days with certainty, the second told me that there is really no way of knowing that. I have hundreds of these anecdotes with BT, these are just from the last couple of months when dealing with a move. As soon as I am out of contract - I'm switching to WHATEVER else is available. Don't make the same mistake, it'll prevent you from growing some grey hairs.",Andrea,2021,10,19,1,0.063,0.054,Negative
Engineer No Show even with a committed appointment,"So BT were supposed to attend site at one of my customers today between 8am & 1pm. The order was committed and all looked good, however 1pm came no engineer. Spoke to our supplier who use BT only to be told the order was stuck in a loop on the BT systems? How did the order get committed?? No response from the BT escalation team and have a very angry customer. No communication on this delay from BT before the visit date or this morning. Poor service BT. Great start to a new SoGEA product. Let down.",LP,2021,10,19,1,0.165,0.1,Negative
Constant lies from BT,"Constant lies from BT, engineer never shows up.Wast of time and a big headache.Ordered BT Broadband 6 weeks ago, I suppose to have my internet working 4 weeks ago. But till now, nothing and no customer service to help or anything. Rebooked again and nothing, didn't show up again. Asking me many times by text to confirm the appointments, I always did. No calls nothing, to say what happened, they just enjoy playing with your time. I decided to cancel the order because I do not have my internet after all this time, I never received any support or anything, and the customer service is rubbish. Is no communication between BT and the engineer so they never know what to do.I’m not impressed, now I completely understand all this reviews.Bt is a joke really, customer service and everything.",C. McG.,2021,10,19,1,0.083,0.096,Positive
Constant lies from BT!,"Constant lies from BT!Have had BT since we bought our first home. Service wasn't great and constantly told the only way we will get good internet speeds is by upgrading time and time again.The bought a new house and told BT, they gave us a date 2 weeks in advance to come and fit our new broadband and phone line (house only had virgin in). Took a day off work and stayed in all day only for no one to show up.After having to wait another weekend of no internet I was told that they needed to complete major works outside before my broadband could be installed. Each time I messaged I was given a worse case scenario date and every time this passed with no contact from BT. I eventually got put through to a manager who continued to lie about a number of things.In the end I mentioned they were breaching out contract and that we were being charged extortionate amounts for poor internet strength and being made a fool out of.In the end I cancelled our contract and am still waiting for a refund of £200. Still being lied to, told different dates as to when I will receive this refund and today been told that my bank was the issue and they tried to refund already.Now gone with Virgin who were half the price, easy to speak to and so far no lies.",Charlotte,2021,10,19,1,0.134,0.051,Negative
Leaving BT cost me £500! Talk talk next time.,Having been a loyal BT customer for nearly 50 years we find ourselves in temporary accommodation with no landline access.  I asked BT to suspend my contract for 6 months by which time we should have found a permanent home.  Oh no they couldn’t do this they stopped the account and charged me £500 for the privilege!!!  Won’t be going back to BT.,Mrs Edmonds,2021,10,19,1,0.164,0.081,Negative
"At least they turned up, but for the wrong job","My last review was titled ‘Twice they haven’t turned up’ so after taking my THIRD, NOTE BT THIRD, day off work today at least they turned up.  BUT FOR THE WRONG JOB.  The engineers gone back and are rebooking it.  So FOUR days off work, and that’s if they turn up next time.  Dan from BT, don’t write me another ‘we’re really sorry’ reply.  This is your last warning, turn up fix the problem or I’m disconnecting it, stopping payment and your useless equipment will be on the doorstep.",Robert Grahamslaw,2021,10,19,1,0.172,0,Negative
Please avoid this company,"Please avoid this company! I signed into a deal with bt back in April they had sent everything out to me but my set up data were 2 weeks after and I had to wait even longer, not only that I’ve not had 3 boxes and they keep freezing on my and bt have sent 3 people out and took 3 months to sort the issue out and they failed to turn up a couple of times!!! I keep being charged for bt sport each month that I do not have!!!!!! nd each month have to keep chasing it up to get my money back!!!! Now my internet is down and I’ve been told the issue is fixed I got given a time 12-2 and they they cannot keep the appointment and moved me to 2-4 with out my say so this is the 3rd time they have changed with out my consent or just not turn up!!!!! I was away and that’s the only time I could do but no bt didn’t care!!!! Now I’m left with my internet  now working as I’m now doing 16 hours and won’t have time for them to come around there saying I’ll.have to wait till I’m off as it wasn’t here mistake  but won’t own up to it!!!!! The worlds most rude customer service ever!!!! I want to leave!!!!!! I’ve never ever had a month with out and issue since I signed up and I’ve had enough!! But was told I’d have to pay and exit fee but why should I when I’ve not been given the service I should be!!!!!!!! I’ll now be going citizens advice as this company is a pure scam and going to get all my money back off them!!!!!",Jemma Atkins,2021,10,19,1,0.095,0.019,Negative
The MyBT app has never failed to lead…,"The MyBT app has never failed to lead me on a wild goose chase every time I try to pay my bill with it. It never accepts my password, which means I have to set it up all over again and to be honest I've had enough. They're going to have to send me a paper bill, (sorry Greta) then I will phone them and pay my bill like in the good old days. The app has let me down one time too many.",Joe Kemp,2021,10,18,2,0.054,0.129,Positive
Really good phone provider,Really good phone provider. Been with them for years.,Niall Bradley,2021,10,18,5,0,0.285,Positive
Would leave no stars if possible,"Would leave no stars if possible. Had my landline transferred from EE to BT under the pretence that BT was the most effective company and offered me the exact same package I had at the time with EE. I’ve just received a bill from them for £99 when my monthly rate is meant to be £27.99. I called up and was told that I had been placed on a pay as you go contract and the basic rate is £27.99 before I even use my landline to make any calls etc. This is not what I had been sold originally and most definitely not what I had agreed to. I’ve also been told that there is no way I will get my £99 back and i’m under a 24 month contract with a pay as you go landline that I did not want. When I was sold this deal I was told it was exactly the same as my package at the time, it was not made clear to me at any stage I was being sold a pay as you go contract. Horrendous service and misinformed on my contract. Do not buy from BT you’re better off sticking with companies you can trust.",rose parker,2021,10,18,1,0.103,0.061,Negative
Poor customer service,"Poor customer service - waited for five hours, engineer didn’t turn up and had posted that fault had been fixed. Solution offered by BT - make another appointment and wait for another five hour period to see if engineer turns up. Ridiculous. Find a better way of resolving issues you create BT!",MJ,2021,10,18,1,0.137,0.168,Positive
Absolutely disgusting service,"Absolutely disgusting concept of customer service. Was mis-sold a product that was supposed to provide us with internet until an engineer could come out, that then apparently couldn't be provided until after the service had been connected. What a complete waste of time. The people I had the misfortune of dealing with were unpleasant, argumentative and generally unhelpful, wasting an hour and a half of my afternoon for basically no resolution because everyone is blaming each other.  Communication is poor and aggressive, and the overall experience makes me severely regret choosing to go with BT at allEdit because I am unable to reply to what looks like a thoughtful response from BT: I wasted half my afternoon bring passed around various people who argued about whether or not I was able to access the hybrid hub. I got sick of it because I had been able to order it a week earlier but BT messed up so badly they could no longer send it to me, and it would have been pointless as by the time BT eventually got their s**t together, in theory we should have our internet service connected. This reply just makes things even more frustrating because we now have even more people who are unable to agree on what should be incredibly simple",Charlie B,2021,10,18,1,0.178,0.029,Negative
BT are complete liars,"BT are complete liars ! How come their speed test is saying “everything is fine” but all other speed checkers and real life experience is saying the complete opposite ? If you complain for long enough, you magically get the speed you pay for - although they deny it was ever a problem. Then within a month it is back to the 1990’s speed again.",David Nuttall,2021,10,18,1,0.203,0,Negative
My mother contacted BT regarding…,My mother contacted BT regarding checking the line due to noise BT were so helpful and spoke to me instead of my mother as requested and the problem was resolved very quickly,Customer ,2021,10,17,5,0.073,0.144,Positive
Terrible don't join them,Terrible don't join them! They manipulate you into a long contract and if you have issues and call them they try to delay sending someone so when you're finally sick of their crap you are forced to pay a lot of money just to get out of a contract. Corrupt and evil.,Misterr Salem,2021,10,17,1,0.352,0,Negative
Early termination fee,I am moving into a house with a bt customer that is in contract so I needed to cancel my contract however I am now being charged with a £200 early termination fee!! I would of taken it with me if there wasn’t already bt there this is unbelievable who has that kind of money when they are moving house!,Isabella,2021,10,17,1,0.087,0.032,Negative
I ordered halo 3 + upgrade on the 27/9…,"I ordered halo 3 + upgrade on the 27/9 with a date for engineer of 4/10.No engineer no equipment and no communication . Chased up and got equipment and activation date of 8/10 with engineer appt on 10/10. Use a days holiday for 10/10mbut no visit kept and no activation.Phoned to sort out and told order issue on system and would cancel and then I have to wait 24 hours to reorder.24 hours later told had to wait another 24 hoursTuesday12/10 told issues new order raised but needed to check lines and unless I heard other wise wait 7 days.in the interim said my phone numbers were being changed despite me having them 15 years and not wanting a change.Got a strange email on Thursday 14/10,so called and eventually got through to a team that said they took ownership and would sort. They said activation on 5/10 and booked engineer for Sunday 17/10.No activation no engineer no contact and the team that said they would manage each aspect and I would be called not need to chase have not contacted me but another department has emailed them and they may get back to me in 24 hours.No one can tell me what is going on.alway sorry but never put right. No accountability. I doubt the next contact will get this sorted as BT seems incapable of doing the basics right and keeping promises.",Nigel Huntington,2021,10,17,1,0.09,0.057,Negative
Warning forget about the stay fast speed guarantee,"I took out a contract with BT a couple of years ago with the stay fast speed guarantee set at between 28 and 36mbps after a year they changed it to 26 and 36 and finally down to 24 and 29 without letting me know, when I complained they said I could leave my contract without penalties as my speed went below the 24 guaranteed, there was no chance that they was going to pay out the £20 compensation, so for over a year I was getting less speed as to what I signed up for and and having to pay the same, so be warned if your thinking of signing up with these lot, they find every excuse under the sun to get away with it, even blaming open reach",Colin Hastie,2021,10,17,1,0.11,0.049,Negative
I received help via the twitter page,"I received help via the twitter page, help with testing and new hub sent out. All good so far from a extremely vulnerable anxious customer thank you",Batfinkswings,2021,10,17,5,0.13,0.315,Positive
Polite and helpful,"Polite and helpful, solved the problem and came back to check they had",MrsZ,2021,10,17,5,0.153,0.278,Positive
Phoning Customer Service,"Too too long to be kept waiting on the phone listening to ""we are experiencing a busy time....."" Over & over again, enough to drive a sane person mad. How about employing more call centre staff if you're so busy that you can't answer a call within a couple of minutes ?",chrissie trice,2021,10,16,1,0.066,0,Negative
Rubbish no service and no connection…,Rubbish no service and no connection after 12 months of complaining hours on the phone trying to resolve ...waste of my time,Clean Machine Sheffield,2021,10,16,1,0.231,0.097,Negative
It's always a surprise when a large…,"It's always a surprise when a large company such as BT responds quickly to queries via Twitter, and then follows through with prompt action. So thank you, BT, thank you very much. And keep it up!",Tony  Lockhart,2021,10,16,5,0,0.205,Positive
It's a rip-off,"It's a rip-off, very expensive, poor service; I have been a BT customer for almost 7 years, Moved house and can't get a signal on all rooms, been chasing BT over the phone calling several times, waiting 20 minutes every time I called, all that they managed to do is to make me a new contract without sending me the equipment, I was promised 3 times that they had sent the wifi boosted but every time was a lie,They can't resolve the problem, but they still got my money",karim messaadia,2021,10,16,1,0.058,0.075,Positive
Fantastic people at BT Social Media,Fantastic people at BT Social Media.  My elderly parents had a problem with the landline and it was imperative that it was fixed ASAP or they would miss a hospital phone consultation.  The link I had been sent to track the repair wasn't working so I contacted BT via Facebook and I am very impressed at their Customer Service.  The Social Media team have restored my faith in BT.  Amazing,Lorraine Gilby,2021,10,15,5,0.055,0.204,Positive
We had moved house about a year ago but…,"We had moved house about a year ago but wanted to keep our old phone number so we were enticed by BT and informed that we would be able to use our old phone number as long as we went with them, so straight away we went with them and we moved during Christmas time, they took a few weeks to come and fit the internet and ever since we've been having problems, bills increasing dramatically for no reason and we're also having constant internet cutouts, I can't count the amount of times I've rang BT informing them about new occurring issues that persists every month or gets worse, they keep telling me that they'll get someone in to check it out and fix it, upon arrival they typically just swap the boxes and claim the last one was faulty and suggest another alternative, they insisted that we also have another box that is supposed to keep our internet up even if the main BT Internet Box cuts off and as expected, it never worked, two separate times our internet has gone down for over an hour and the other box has literally decided to do nothing yet keep in mind we're paying for that extra box too. We're paying for the best internet but we're only getting 30 MBPS down and 7 up it's hysterical. I can't tell you enough how dreadful this company is and how in hell it still runs the way it does, it's a blatant rip off company.",Crazitor,2021,10,15,1,0.1,0.055,Negative
BT are a 100% rip off,"So have been a full package BT customer for years. When I needed to move with work I was put into temporary accommodation which had broadband (serviced apartment). I asked BT if they could suspend my account and they said no. I asked if I could keep paying but have it disconnected at the old address and they said no.I asked what I can do - they said cancel, and then charged me £300 for it. I asked to keep my BT Sports package active but they disconnected it AND kept charging me for it.So now I am with Hyperoptic who are cheaper, faster and have a rolling monthly plan with no lock in charges.Don't use BT it's a con",Mike,2021,10,15,1,0.092,0.031,Negative
BT are liars,BT are liars! I have had no broadband for 2 weeks! I have been given 3 different repair dates now and still no broadband!Stay clear of this terrible company,Scott Lloyd-Goffin,2021,10,15,1,0.343,0.076,Negative
